index,time,IR,PC
1,189000,0x03A90000,0x0000000F
2,203000,0x80880003,0x00000010
3,217000,0x48880000,0x00000011
4,231000,0x50880000,0x00000012
5,245000,0x8888000F,0x00000013
6,259000,0x3A010000,0x00000014
7,273000,0x90A00005,0x00000015
8,287000,0x2A090000,0x00000016
9,301000,0x22A90000,0x00000017
10,315000,0x7A8000A3,0x00000018
11,333000,0x42810000,0x00000019
12,347000,0x1B900000,0x0000001A
13,361000,0x12280000,0x0000001B
14,375000,0x7BA00089,0x0000001C
15,393000,0x082B8000,0x0000001D
